name,state,total_mwh,total_cust,no,type,saidi_nomed,saifi_nomed,caidi_nomed,circuits,voltage,nerc,gen_mwh,purchase_mwh,ba,pv_mwh,wind_mwh,nm_mwh,ee_mwh,dem_res_customers,dem_res_mwh,pv_pct,wind_pct,nm_pct,ee_pct,dem_res_pct,dem_res_cust_pct
Pierce-Pepin Coop Services,WI,120799.0,7633.0,15034.0,Cooperative,100.009,0.976,102.46824,34.0,0.0,MRO,0.0,127796.0,MISO,0.0,0.0,0.0,453.0,6528.0,0.0,0.0,0.0,0.0,0.3750031043303339,0.0,85.52338530066815
"Pioneer Rural Elec Coop, Inc - (OH)",OH,643660.0,16818.0,15054.0,Cooperative,103.91,0.86,120.82558,49.0,0.0,RFC,0.0,661201.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Pioneer Electric Coop, Inc - (KS)",KS,833463.0,16605.0,15073.0,Cooperative,162.81,.,.,71.0,71.0,SPP,0.0,920256.0,SWPP,75.075,0.0,75.075,0.0,0.0,0.0,0.009007598417686209,0.0,0.009007598417686209,0.0,0.0,0.0
"Platte-Clay Electric Coop, Inc",MO,500146.0,24927.0,15138.0,Cooperative,74.85,0.96,77.96875,64.0,0.0,SERC,0.0,600345.0,AECI,119.028,0.0,119.028,0.0,0.0,0.0,0.023798650793968163,0.0,0.023798650793968163,0.0,0.0,0.0
Polk County Rural Pub Pwr Dist,NE,81102.0,4725.0,15188.0,Political Subdivision,71.497,0.942,75.899151,38.0,38.0,MRO,0.0,105702.0,SWPP,21.4,0.0,21.4,0.0,903.0,0.0,0.02638652560972602,0.0,0.02638652560972602,0.0,0.0,19.11111111111111
City of Ponca City - (OK),OK,345692.0,15858.0,15202.0,Municipal,187.947,2.147,87.539357,30.0,0.0,SPP,0.0,359272.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portland General Electric Co,OR,17304691.0,889388.0,15248.0,Investor Owned,98,0.61,160.65574,694.0,7.0,WECC,15871590.0,7811844.0,PGE,0.0,0.0,0.0,0.0,120550.0,0.0,0.0,0.0,0.0,0.0,0.0,13.55426428060644
"Poudre Valley REA, Inc",CO,1323824.0,43959.0,15257.0,Cooperative,85.075,0.869,97.899885,126.0,0.0,WECC,0.0,1365619.0,WACM,0.0,0.0,0.0,4056.696,0.0,0.0,0.0,0.0,0.0,0.30643771377464074,0.0,0.0
The Potomac Edison Company,MD,3608061.0,233727.0,15263.0,Investor Owned,172.434,1.079,159.80908,355.0,355.0,0,0.0,0.0,PJM,0.0,0.0,0.0,133531.0,0.0,0.0,0.0,0.0,0.0,3.7009074957435586,0.0,0.0
The Potomac Edison Company,WV,3698501.0,144403.0,15263.0,Investor Owned,194.167,1.116,173.98477,163.0,163.0,0,0.0,0.0,PJM,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006925063883714327
