year,name,state,total_mwh,total_cust,no,type,saidi_nomed,saifi_nomed,caidi_nomed,circuits,voltage,nerc,gen_mwh,purchase_mwh,pv_mwh,wind_mwh,nm_mwh,ee_mwh,dem_res_customers,dem_res_mwh,pv_pct,wind_pct,nm_pct,ee_pct,dem_res_cust_pct
2019.0,Commonwealth Edison Co,IL,26854515.0,2730588.0,4110.0,Investor Owned,51.332,0.63,81.479365,5619.0,282.0,RFC,0.0,30230565.0,0.0,0.0,0.0,2097423.0,421465.0,911.0,0.0,0.0,0.0,7.810317929778289,15.43495393666126
2019.0,Connecticut Light & Power Co,CT,9551527.0,944461.0,4176.0,Investor Owned,249.17,0.985,252.96447,1023.0,0.0,NPCC,0.0,12473031.0,0.0,0.0,0.0,363471.2,4484.0,0.0,0.0,0.0,0.0,3.805372690670298,0.4747681481818731
2019.0,Consumers Energy Co,MI,32707947.0,1836668.0,4254.0,Investor Owned,233.341,1.124,207.59875,2332.0,686.0,RFC,16543133.0,22512326.0,0.0,0.0,0.0,524910.0,102634.0,299.7,0.0,0.0,0.0,1.6048393376692214,5.58805401956151
2019.0,Coweta-Fayette El Member Corp,GA,1623576.0,82443.0,4432.0,Cooperative,95.83,1.08,88.731481,87.0,0.0,SERC,0.0,1680931.0,91.68,0.0,91.68,1255.2,11696.0,134.64,0.005646794483288741,0.0,0.005646794483288741,0.07731082499371758,14.186771466346446
2019.0,Delaware County Elec Coop Inc,NY,76876.0,5372.0,5021.0,Cooperative,812.9,.,.,11.0,0.0,NPCC,0.0,81693.0,54.8,0.022,54.822,8.8,563.0,0.0,0.07128362557885426,2.8617513918518127e-05,0.07131224309277279,0.011447005567407253,10.480268056589724
2019.0,Delaware Electric Cooperative,DE,1466907.0,101814.0,5070.0,Cooperative,83.08,1.283,64.754482,89.0,45.0,RFC,6572.0,1542213.0,0.0,0.0,0.0,580.0,29397.0,1.4,0.0,0.0,0.0,0.03953897554514363,28.87323943661972
2019.0,DTE Electric Company,MI,42072638.0,2209021.0,5109.0,Investor Owned,202.375,1.136,178.14701,3500.0,0.0,RFC,38752398.0,8164409.0,0.0,0.0,0.0,718196.0,347133.0,872.0,0.0,0.0,0.0,1.7070381942772401,15.71433680349802
2019.0,City of Detroit Lakes - (MN),MN,189741.0,7631.0,5111.0,Municipal,6.3,0.084,75,19.0,0.0,MRO,0.0,197569.0,0.0,0.0,0.0,2520.2,1955.0,349.0,0.0,0.0,0.0,1.3282316420805202,25.619184903682346
2019.0,"Duke Energy Carolinas, LLC",NC,58505595.0,2047365.0,5416.0,Investor Owned,174,1.06,164.15094,1907.0,0.0,SERC,84416930.0,10690043.0,1799.163,0.0,1799.163,944608.0,185593.0,0.0,0.0030751981925831195,0.0,0.0030751981925831195,1.614560111729485,9.064968874626654
2019.0,Dunn County Electric Coop,WI,214804.0,10057.0,5417.0,Cooperative,55.78,0.583,95.67753,40.0,0.0,MRO,0.0,224218.0,18.275,0.0,18.275,1112.0,3551.0,0.0,0.008507755907711214,0.0,0.008507755907711214,0.5176812349863131,35.30874018096848
