name,state,total_mwh,total_cust,no,type,saidi_nomed,saifi_nomed,caidi_nomed,circuits,voltage,nerc,gen_mwh,purchase_mwh,ba,pv_mwh,wind_mwh,nm_mwh,ee_mwh,dem_res_customers,dem_res_mwh,pv_pct,nm_pct,ee_pct,dem_res_pct,dem_res_cust_pct
Freeborn-Mower Coop Services,MN,496572.0,20904.0,6782.0,Cooperative,84.4,0.91,92.747253,83.0,32.0,MRO,0.0,510956.0,MISO,1218.021,304.733,1522.754,8820.0,1658.0,0.0,0.24528587999323362,0.3066532144381882,1.7761774727531958,0.0,7.931496364332186
City of Greenville - (TX),TX,523756.0,15038.0,7634.0,Municipal,8.331,0.116,71.818966,35.0,35.0,TRE,48005.0,695072.0,ERCO,0.0,0.0,0.0,378.0,1.0,1212.62,0.0,0.0,0.07217101092875308,0.2315238393450385,0.006649820454847719
"Gulf Coast Electric Coop, Inc",FL,345954.0,20316.0,7785.0,Cooperative,574.822,4.44,129.46441,37.0,0.0,SERC,0.0,362589.0,AEC,0.0,0.0,0.0,107.0,756.0,0.657,0.0,0.0,0.030928967434976903,0.00018990964116616661,3.7212049616066154
Heartland Power Coop,IA,311733.0,5186.0,8319.0,Cooperative,96.849,0.923,104.92849,60.0,1.0,MRO,0.0,318886.0,MISO,253.0,0.0,253.0,2364.0,2855.0,0.0,0.08115919713344433,0.08115919713344433,0.7583412728200094,0.0,55.05206324720401
Haywood Electric Member Corp,NC,291977.0,27124.0,8333.0,Cooperative,599.765,4.918,121.95303,38.0,0.0,SERC,0.0,322140.0,DUK,360.935,3.56,364.495,0.0,438.0,1.0,0.12361761371614888,0.12483688783705565,0.0,0.0003424927305917932,1.6148060758000293
"Holy Cross Electric Assn, Inc",CO,1218050.0,57934.0,8773.0,Cooperative,72.5,0.78,92.948718,52.0,0.0,WECC,420634.0,1225378.0,PSCO,492.767,0.0,499.768,7695.49,18.0,41.098,0.04045540002462953,0.04103017117523911,0.6317876934444399,0.0033740815237469726,0.0310698380916215
Horry Electric Coop Inc,SC,1209397.0,81919.0,8786.0,Cooperative,68.035,0.863,78.835458,119.0,0.0,SERC,0.0,1260123.0,SC,0.038,0.0,0.038,0.0,5769.0,46.15,3.1420617051307385e-06,3.1420617051307385e-06,0.0,0.0038159512550469364,7.0423222939733146
Idaho Power Co,ID,13871943.0,545819.0,9191.0,Investor Owned,120,1.15,104.34783,604.0,374.0,WECC,13420280.0,5194040.0,IPCO,0.0,0.0,0.0,197159.0,25934.0,0.0,0.0,0.0,1.4212789080808652,0.0,4.751391944948783
Indianapolis Power & Light Co,IN,13364533.0,503198.0,9273.0,Investor Owned,75.603,0.884,85.523756,436.0,364.0,RFC,14933879.0,1425186.0,MISO,995.0,0.9,995.9,196042.0,57195.0,365.0,0.00744507870196437,0.007451812944006348,1.4668825315482403,0.002731109272579895,11.366301137921852
Indiana Michigan Power Co,IN,15008675.0,467397.0,9324.0,Investor Owned,189.4,1.185,159.83122,641.0,60.0,RFC,20365361.0,7660288.0,PJM,6578.483,73.968,6652.577,136437.0,2589.0,0.0,0.0438312042868541,0.044324878778439804,0.9090542636175412,0.0,0.5539188313147068
Jackson County Rural E M C - (IN),IN,470426.0,24657.0,9576.0,Cooperative,146.148,1.532,95.396867,36.0,0.0,RFC,0.0,494049.0,MISO,95.0,0.055,95.055,1214.0,629.0,0.0,0.020194462040788563,0.020206153571443758,0.2580639675528138,0.0,2.5509997161049602
Jackson Electric Member Corp - (GA),GA,5528323.0,233101.0,9601.0,Cooperative,73.05,0.885,82.542373,234.0,0.0,SERC,0.0,5647196.0,SOCO,51.689,0.0,51.689,3370.0,24099.0,0.0,0.0009349851663877093,0.0009349851663877093,0.06095881156003367,0.0,10.338436986542314
