name,state,total_mwh,total_cust,no,type,saidi_nomed,saifi_nomed,caidi_nomed,circuits,voltage,nerc,gen_mwh,purchase_mwh,ba,pv_mwh,wind_mwh,nm_mwh,ee_mwh,dem_res_customers,dem_res_mwh,pv_pct,nm_pct,ee_pct,dem_res_pct,dem_res_cust_pct
Salt River Project,AZ,28853719.0,1076347.0,16572.0,Political Subdivision,43.27,0.71,60.943662,1416.0,0.0,WECC,32896105.0,5082396.0,SRP,47669.0,0.0,47669.0,644377.0,21938.0,113.02,0.1652092057873025,0.1652092057873025,2.233254576299159,0.0003916999399626787,2.0381902862181063
City of San Antonio - (TX),TX,22664813.0,850161.0,16604.0,Municipal,54.86,0.79,69.443038,614.0,22.0,TRE,25208143.0,4911730.0,ERCO,0.0,0.0,0.0,172463.0,485576.0,25354.0,0.0,0.0,0.7609284047479236,0.11186503060934144,57.11576983653684
San Diego Gas & Electric Co,CA,14405807.0,1452138.0,16609.0,Investor Owned,68.64,0.596,115.16779,1061.0,757.0,WECC,2558141.0,22486042.0,CISO,33.37,0.0,33.37,242605.0,895133.0,335.64,0.00023164269797589263,0.00023164269797589263,1.6840778166749009,0.0023298937713104166,61.64241965983949
Sawnee Electric Membership Corporation,GA,3656585.0,183053.0,16865.0,Cooperative,43.8,0.69,63.478261,216.0,160.0,SERC,0.0,3787249.0,SOCO,0.0,0.0,0.0,649.767,56428.0,125.82,0.0,0.0,0.0177697769913731,0.003440915499024363,30.826044915953304
Sedgwick County El Coop Assn Inc,KS,142338.0,6953.0,16920.0,Cooperative,206.526,1.462,141.26265,21.0,0.0,SPP,62.0,149196.0,SWPP,0.0,0.0,0.0,104.0,50.0,10.0,0.0,0.0,0.07306552010004355,0.007025530778850342,0.7191140514885661
Shakopee Public Utilities Comm,MN,445150.0,17798.0,16971.0,Municipal,8.683,0.149,58.275168,33.0,0.0,MRO,0.0,459121.0,MISO,0.0,0.0,0.0,6165.275,1929.0,0.0,0.0,0.0,1.3849882062226215,0.0,10.838296437802
Shenandoah Valley Elec Coop,VA,2429562.0,95555.0,17066.0,Cooperative,159.6,1.4,114,135.0,1.0,SERC,0.0,2540408.0,PJM,0.0,0.0,0.0,259.0,15162.0,464.07,0.0,0.0,0.01066035771056676,0.019100973755763386,15.867301554078802
Sierra Pacific Power Co,NV,9195752.0,352366.0,17166.0,Investor Owned,189.44,1.72,110.13953,348.0,0.0,WECC,6132970.0,4466026.0,NEVP,0.0,0.0,0.0,90.831,10457.0,3280.0,0.0,0.0,0.0009877495608841996,0.03566864352148688,2.9676529517603853
"Dominion Energy South Carolina, Inc",SC,21983940.0,743780.0,17539.0,Investor Owned,77.89,1.03,75.621359,764.0,0.0,SERC,20488209.0,3712883.0,SCEG,86299.752,0.0,86299.752,71734.0,38.0,35.0,0.3925581674622474,0.3925581674622474,0.3263018367044306,0.00015920713029602519,0.005109037618650676
South Carolina Public Service Authority,SC,8318204.0,189205.0,17543.0,State,18.942,0.27,70.155556,291.0,253.0,SERC,17802933.0,5816891.0,SC,224.448,0.0,224.448,17552.008,20.0,200.0,0.0026982747718137232,0.0026982747718137232,0.21100718376226407,0.002404365173058992,0.010570545175867446
Southeastern Indiana R E M C,IN,531404.0,27313.0,17599.0,Cooperative,337.1,2.51,134.30279,20.0,0.0,RFC,0.0,559471.0,MISO,0.0,0.0,0.0,890.0,1266.0,604.0,0.0,0.0,0.16748086201835138,0.11366116927986993,4.635155420495734
Southern California Edison Co,CA,62259607.0,4120399.0,17609.0,Investor Owned,90.75,0.87,104.31034,4464.0,2481.0,WECC,12540012.0,56679822.0,CISO,0.0,0.0,0.0,479300.01,282653.0,0.0,0.0,0.0,0.7698410463785934,0.0,6.859845369344085
St Croix Electric Coop,WI,192517.0,10916.0,17868.0,Cooperative,106.698,0.9,118.55333,50.0,0.0,MRO,0.0,201458.0,MISO,0.0,0.0,0.0,595.0,4138.0,0.0,0.0,0.0,0.30906361516125846,0.0,37.90765848296079
Sulphur Springs Valley E C Inc,AZ,843618.0,52220.0,18280.0,Cooperative,61.4,0.57,107.7193,84.0,0.0,WECC,55533.0,906458.0,WALC,0.0,0.0,0.0,1858.23,797.0,55.0,0.0,0.0,0.2202691265477977,0.006519538464091567,1.5262351589429337
Taylor Electric Coop - (WI),WI,69237.0,4414.0,18383.0,Cooperative,29.88,.,.,48.0,0.0,MRO,48.0,73320.0,MISO,85.529,0.0,85.529,343.0,2008.0,0.0,0.12353077111948814,0.12353077111948814,0.4953998584571833,0.0,45.49161758042592
Tampa Electric Co,FL,19783567.0,771959.0,18454.0,Investor Owned,85.71,1.36,63.022059,800.0,0.0,FRCC,19464415.0,1465419.0,TEC,1508.216,0.0,1508.216,86124.356,240.0,33816.21,0.007623579711383695,0.007623579711383695,0.4353327991863146,0.17093080332783264,0.031089734040279343
City of Taunton,MA,640323.0,39056.0,18488.0,Municipal,68.489,2.474,27.683508,56.0,25.0,NPCC,44529.0,636704.0,ISNE,0.0,0.0,0.0,295.0,11.0,31.0,0.0,0.0,0.046070498795139324,0.00484130665304854,0.02816468660385088
The Toledo Edison Co,OH,1088474.0,93567.0,18997.0,Investor Owned,66.877,0.631,105.98574,255.0,235.0,RFC,0.0,1136241.0,PJM,0.0,0.0,0.0,88711.993,4.0,0.0,0.0,0.0,8.150125129309474,0.0,0.004275011489093377
MiEnergy Cooperative,MN,323440.0,15937.0,19157.0,Cooperative,100.789,0.836,120.561,84.0,0.0,MRO,0.0,676643.0,MISO,2868.629,226.007,3094.636,3664.05,6272.0,0.0,0.8869122557506801,0.956788276032649,1.1328376205787782,0.0,39.35496015561272
Trico Electric Cooperative Inc,AZ,724628.0,48274.0,19189.0,Cooperative,43.043,0.472,91.192797,65.0,31.0,WECC,440.0,761005.0,WALC,19176.301,0.274,19176.575,259.404,21.0,0.0,2.6463648934349764,2.646402705940152,0.035798230264356336,0.0,0.0435016779218627
Tri-County Electric Coop (MI),MI,348706.0,26105.0,19396.0,Cooperative,156,1.23,126.82927,62.0,0.0,RFC,0.0,368550.0,MISO,2262.312,5.66,2267.972,3639.9,6004.0,0.0,0.6487734653260913,0.6503966091779322,1.0438306194903444,0.0,22.99942539743344
Union Electric Co - (MO),MO,32119373.0,1230248.0,19436.0,Investor Owned,106,0.9,117.77778,2245.0,0.0,SERC,36490411.0,2991045.0,MISO,0.0,0.0,0.0,390707.206,12491.0,2197.986,0.0,0.0,1.2164222695131688,0.006843178414472785,1.015323739603722
Duke Energy Kentucky,KY,4070995.0,143431.0,19446.0,Investor Owned,170,1.31,129.77099,137.0,0.0,RFC,3303725.0,1535019.0,PJM,0.0,0.0,0.0,39667.618,12449.0,0.0,0.0,0.0,0.974396136571035,0.0,8.679434710766849
United Electric Coop Service Inc - (TX),TX,2463002.0,87738.0,19490.0,Cooperative,98.367,1.192,82.522651,190.0,0.0,TRE,0.0,2575815.0,ERCO,1410.024,18.059,1428.083,6634.316,36457.0,417.457,0.057248187374594084,0.0579813983098674,0.26935893677715245,0.01694911331781298,41.55212108778408
"UNS Electric, Inc",AZ,1687399.0,97992.0,19728.0,Investor Owned,7.38,0.02,369,115.0,0.0,WECC,979880.0,1247665.0,TEPC,36510.087,46.736,36556.823,20396.26,30.0,0.0,2.1636902119771317,2.166459918489936,1.208739604562999,0.0,0.030614744060739652
Verendrye Electric Coop Inc,ND,599807.0,16374.0,19790.0,Cooperative,81.48,0.93,87.612903,103.0,103.0,MRO,0.0,618703.0,MISO,6.679,3.833,10.512,2251.0,3738.0,0.0,0.0011135248504935756,0.0017525637413367966,0.37528738410855494,0.0,22.828875045804324
Vernon Electric Coop,WI,152189.0,11237.0,19813.0,Cooperative,125,.,.,55.0,0.0,RFC,0.0,159524.0,MISO,78.497,0.279,78.776,315.0,3778.0,0.0,0.05157862920447602,0.051761953886286134,0.20697947946303608,0.0,33.621073240188664
Wake Electric Membership Corp,NC,811376.0,46983.0,19981.0,Cooperative,87.2,1.091,79.926673,74.0,70.0,SERC,0.0,847236.0,CPLE,347.92,0.0,347.92,1882.0,8.0,0.689,0.04288024294531759,0.04288024294531759,0.2319516475715328,8.491747352645382e-05,0.017027435455377476
City of Waseca - (MN),MN,57432.0,4184.0,20136.0,Municipal,18.2,0.32,56.875,5.0,0.0,MRO,0.0,61207.0,MISO,10.006,0.0,10.006,774.4,1599.0,23.9,0.01742234294469982,0.01742234294469982,1.3483772113107675,0.04161443097924502,38.217017208413004
West Penn Power Company,PA,7258037.0,542979.0,20387.0,Investor Owned,197.848,1.282,154.32761,872.0,872.0,RFC,0.0,7563429.0,PJM,0.0,0.0,0.0,148964.981,55733.0,0.0,0.0,0.0,2.052414185819113,0.0,10.26430119765221
West River Electric Assn Inc,SD,302113.0,17465.0,20401.0,Cooperative,61.56,1.12,54.964286,49.0,0.0,MRO,0.0,318534.0,SWPP,62.844,12.634,75.478,345.0,3394.0,0.0,0.020801488184884465,0.024983367150701884,0.11419568174822003,0.0,19.433152018322357
City of Westerville - (OH),OH,474048.0,17434.0,20477.0,Municipal,18.35,0.44,41.704545,27.0,0.0,RFC,0.0,502705.0,PJM,0.0,0.0,0.0,367.0,555.0,6.16,0.0,0.0,0.07741832050762792,0.0012994464695558255,3.1834346678903294
Willmar Municipal Utilities,MN,279868.0,9603.0,20737.0,Municipal,4.83,0.09,53.666667,19.0,10.0,MRO,6685.0,280271.0,MISO,10.319,0.0,10.319,722.0,2324.0,3.19,0.003687095344948333,0.003687095344948333,0.25797876141609616,0.0011398230594423084,24.20077059252317
Woodruff Electric Coop Corp,AR,384812.0,19027.0,20963.0,Cooperative,31.8,0.55,57.818182,86.0,0.0,SERC,0.0,425665.0,MISO,0.0,0.0,0.0,0.0,3200.0,4000.0,0.0,0.0,0.0,1.0394686236395956,16.818205707678562
York Electric Coop Inc,SC,1070398.0,62320.0,21002.0,Cooperative,72.27,0.722,100.09695,99.0,0.0,SERC,0.0,1113277.0,DUK,1930.0,0.0,1930.0,398.0,5637.0,0.0,0.18030676439978402,0.18030676439978402,0.0371824312078311,0.0,9.04525032092426
EnergyUnited Elec Member Corp,NC,2685780.0,130295.0,21632.0,Cooperative,98.58,0.949,103.87777,248.0,15.0,SERC,0.0,2841216.0,DUK,0.0,0.0,0.0,194.021,11283.0,744.0,0.0,0.0,0.007224009412535651,0.02770144985814177,8.65958018342991
Cass County Elec Coop Inc,ND,1287375.0,52086.0,24949.0,Cooperative,30.56,0.498,61.365462,41.0,11.0,MRO,0.0,1328581.0,MISO,125.245,56.811,182.056,10.0,9743.0,6223.56,0.009728711525390815,0.014141644819885425,0.0007767744441207884,0.48343023594523743,18.705602273163613
Red River Valley Coop Pwr Assn,MN,124264.0,4681.0,26939.0,Cooperative,81,0.62,130.64516,43.0,32.0,MRO,0.0,131002.0,MISO,0.0,0.0,0.0,1463.0,2007.0,0.0,0.0,0.0,1.1773321315908067,0.0,42.87545396282846
Entergy Texas Inc.,TX,19008103.0,459190.0,55937.0,Investor Owned,297,2.019,147.10253,671.0,0.0,SERC,6326958.0,15088727.0,MISO,0.0,0.0,0.0,44488.239,8.0,73.753,0.0,0.0,0.2340488106572234,0.0003880082089201642,0.0017421982186023215
