year,name,state,total_mwh,total_cust,no,type,saidi_nomed,saifi_nomed,caidi_nomed,circuits,voltage,nerc,gen_mwh,purchase_mwh,ba,pv_mwh,wind_mwh,nm_mwh,ee_mwh,dem_res_customers,dem_res_mwh,pv_pct,wind_pct,nm_pct,ee_pct,dem_res_pct,dem_res_cust_pct,circuit_pct
2019.0,Adams Electric Coop,IL,176102.0,8931.0,97.0,Cooperative,169.74,1.29,131.5814,47.0,47.0,SERC,4612.0,183534.0,MISO,0.0,0.0,0.0,0.0,4402.0,0.0,0.0,0.0,0.0,0.0,0.0,49.288993393796886,100.0
2019.0,Adams-Columbia Electric Coop,WI,515186.0,37607.0,108.0,Cooperative,139.9,0.95,147.26316,95.0,16.0,MRO,0.0,545904.0,MISO,705.775,22.235,728.01,0.0,4781.0,13647.36,0.13699421179923366,0.004315916969793434,0.1413101287690271,0.0,2.649016083511586,12.713058739064536,16.842105263157894
2019.0,Agralite Electric Coop,MN,238558.0,5251.0,155.0,Cooperative,128.759,1.181,109.0254,64.0,0.0,MRO,447.0,253275.0,MISO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,Aiken Electric Coop Inc,SC,938436.0,48059.0,162.0,Cooperative,97.72,.,.,122.0,0.0,SERC,0.0,980124.0,SC,354.456,0.0,354.456,3.8,0.0,0.0,0.037770929503983225,0.0,0.037770929503983225,0.00040492905216764916,0.0,0.0,0.0
2019.0,Alaska Electric Light&Power Co,AK,337796.0,17280.0,213.0,Investor Owned,79,2.08,37.980769,31.0,31.0,AK,123203.0,235572.0,0,0.0,0.0,0.0,0.0,2386.0,0.0,0.0,0.0,0.0,0.0,0.0,13.80787037037037,100.0
2019.0,City of Albemarle - (NC),NC,282568.0,12072.0,232.0,Municipal,44.05,0.53,83.113208,14.0,14.0,SERC,0.0,293574.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2019.0,Albertville Municipal Utilities Board,AL,604222.0,10277.0,241.0,Municipal,21.624,0.418,51.732057,22.0,0.0,SERC,0.0,623425.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,Alger-Delta Coop Electric Assn,MI,75981.0,10089.0,305.0,Cooperative,55.852,0.117,477.36752,17.0,0.0,MISO,0.0,85152.0,MISO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,"Allamakee-Clayton El Coop, Inc",IA,133395.0,9987.0,329.0,Cooperative,141.6,0.965,146.73575,53.0,0.0,MRO,148.0,150540.0,MISO,1035.749,0.144,1035.893,1124.0,2768.0,0.0,0.7764526406536977,0.00010795007309119531,0.7765605907267888,0.842610292739608,0.0,27.71603084009212,0.0
2019.0,Altamaha Electric Member Corp,GA,440677.0,20790.0,407.0,Cooperative,95.1,0.47,202.34043,57.0,57.0,SERC,0.0,451195.0,SOCO,0.0,0.0,0.0,0.0,256.0,14.0,0.0,0.0,0.0,0.0,0.0031769300417312453,1.2313612313612312,100.0
2019.0,City of Ames - (IA),IA,639455.0,26956.0,554.0,Municipal,15.79,0.19,83.105263,41.0,0.0,MRO,126113.0,663514.0,MISO,0.0,0.0,0.0,4218.0,10683.0,0.0,0.0,0.0,0.0,0.659624211242386,0.0,39.63125092743731,0.0
2019.0,Amicalola Electric Member Corp,GA,786387.0,49991.0,562.0,Cooperative,449.79,2.38,188.98739,62.0,0.0,SERC,0.0,809836.0,SOCO,15.015,0.0,15.015,0.0,0.0,0.0,0.0019093652362004968,0.0,0.0019093652362004968,0.0,0.0,0.0,0.0
2019.0,City of Anaheim - (CA),CA,2237118.0,120279.0,590.0,Municipal,42.12,0.57,73.894737,123.0,123.0,WECC,22353.0,3009839.0,CISO,0.0,0.0,0.0,26739.841,14.0,0.0,0.0,0.0,0.0,1.195280758547381,0.0,0.011639604586004207,100.0
2019.0,Anchorage Municipal Light and Power,AK,923428.0,31134.0,599.0,Municipal,18.38,0.132,139.24242,76.0,15.0,AK,1125455.0,66345.0,AMPL,83.275,0.26,83.535,0.0,0.0,0.0,0.00901802847650277,2.8155958017300754e-05,0.00904618443452007,0.0,0.0,0.0,19.736842105263158
2019.0,City of Anderson - (IN),IN,866516.0,34351.0,636.0,Municipal,108.932,0.873,124.77892,65.0,0.0,RFC,0.0,911366.0,PJM,13.272,0.0,13.272,0.0,0.0,0.0,0.0015316508870003556,0.0,0.0015316508870003556,0.0,0.0,0.0,0.0
2019.0,Connexus Energy,MN,1956330.0,135890.0,689.0,Cooperative,29.264,0.349,83.851003,202.0,202.0,MRO,14388.0,2006063.0,MISO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2019.0,Anza Electric Coop Inc,CA,61032.0,4778.0,694.0,Cooperative,387.642,4.173,92.892883,8.0,8.0,WECC,0.0,63695.0,WALC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2019.0,Appalachian Electric Coop,TN,941700.0,47175.0,727.0,Cooperative,280.133,3.23,86.728483,72.0,72.0,SERC,0.0,982658.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2019.0,Arizona Public Service Co,AZ,27844577.0,1260386.0,803.0,Investor Owned,86.8,0.843,102.9656,1386.0,0.0,WECC,26805008.0,7156889.0,AZPS,0.0,0.0,0.0,143225.0,693725.0,977215.0,0.0,0.0,0.0,0.5143730500915852,3.509534370013953,55.04067801451301,0.0
2019.0,Entergy Arkansas LLC,AR,21818109.0,713072.0,814.0,Investor Owned,308.8,1.72,179.53488,1255.0,0.0,SERC,27576017.0,4700126.0,MISO,0.0,0.0,0.0,248663.0,23369.0,0.0,0.0,0.0,0.0,1.13970922044619,0.0,3.277228666950883,0.0
2019.0,Arkansas Valley Elec Coop Corp,AR,1199727.0,55362.0,817.0,Cooperative,181.53,1.5,121.02,129.0,0.0,SERC,0.0,1304852.0,SWPP,85.737,0.0,85.737,0.0,0.0,0.0,0.007146375800494612,0.0,0.007146375800494612,0.0,0.0,0.0,0.0
2019.0,"Ashley Chicot Elec Coop, Inc",AR,75904.0,4903.0,925.0,Cooperative,198.6,.,.,17.0,0.0,SERC,0.0,85489.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,Atlantic City Electric Co,NJ,4889951.0,486628.0,963.0,Investor Owned,76,0.89,85.393258,355.0,0.0,RFC,0.0,6521522.0,PJM,0.0,0.0,0.0,13574.0,43558.0,612.0,0.0,0.0,0.0,0.27758969363905694,0.012515462833881158,8.950985146765085,0.0
2019.0,City of Austin - (MN),MN,335157.0,11746.0,1009.0,Municipal,31.885,0.231,138.0303,26.0,0.0,MRO,0.0,341870.0,MISO,25.037,0.0,25.037,5596.206,6809.0,140.882,0.007470230369647657,0.0,0.007470230369647657,1.669726725087049,0.04203462854721817,57.968670185595094,0.0
2019.0,Austin Energy,TX,13695862.0,499542.0,1015.0,Municipal,68.68,0.87,78.942529,404.0,75.0,TRE,9115458.0,5666762.0,ERCO,0.0,0.0,0.0,121336.32,68343.0,86.92,0.0,0.0,0.0,0.8859341602595003,0.0006346442451011845,13.68113191683582,18.564356435643564
2019.0,BARC Electric Coop Inc,VA,179686.0,12800.0,1062.0,Cooperative,375.25,2.66,141.07143,43.0,0.0,SERC,778.0,193046.0,PJM,0.0,0.0,0.0,0.0,2232.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4375,0.0
2019.0,Baldwin County El Member Corp,AL,1476269.0,78775.0,1149.0,Cooperative,75.868,1.048,72.39313,97.0,97.0,SERC,0.0,1532713.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2019.0,Baltimore Gas & Electric Co,MD,12506681.0,965643.0,1167.0,Investor Owned,81.781,0.84,97.358333,1566.0,628.0,RFC,0.0,14754342.0,PJM,0.0,0.0,0.0,459516.583,758207.0,2871.225,0.0,0.0,0.0,3.674168894209423,0.022957529659547563,78.51835512710184,40.102171136653894
2019.0,Bamberg Board of Public Works,SC,45866.0,2058.0,1170.0,Municipal,1.394,0.026,53.615385,6.0,0.0,SERC,0.0,47450.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,"Bandera Electric Coop, Inc",TX,641687.0,37131.0,1175.0,Cooperative,45.636,0.499,91.45491,54.0,2.0,TRE,0.0,698555.0,ERCO,2000.0,0.0,2000.0,0.0,0.0,0.0,0.31167843512491294,0.0,0.31167843512491294,0.0,0.0,0.0,3.7037037037037033
2019.0,Versant Power,ME,319065.0,35456.0,1179.0,Investor Owned,302,1.956,154.39673,242.0,242.0,NPCC,0.0,1662537.0,ISNE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2019.0,Barron Electric Coop,WI,332559.0,18850.0,1251.0,Cooperative,144.72,1.07,135.25234,37.0,0.0,MRO,122.0,352789.0,MISO,0.0,0.0,0.0,1144.0,6371.0,0.0,0.0,0.0,0.0,0.34399910993237287,0.0,33.79840848806366,0.0
2019.0,"Bartlett Electric Coop, Inc",TX,213033.0,12169.0,1273.0,Cooperative,97.6,0.55,177.45455,30.0,0.0,TRE,0.0,225338.0,ERCO,77.095,0.0,77.095,14.994,0.0,0.0,0.03618922889880911,0.0,0.03618922889880911,0.0070383461717198744,0.0,0.0,0.0
2019.0,Bartholomew County Rural E M C,IN,412163.0,11693.0,1283.0,Cooperative,75.59,0.74,102.14865,37.0,0.0,RFC,0.0,421962.0,MISO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
