year,name,state,total_mwh,total_cust,no,type,saidi_nomed,saifi_nomed,caidi_nomed,circuits,voltage,nerc,gen_mwh,purchase_mwh,pv_mwh,wind_mwh,nm_mwh,pv_pct,wind_pct,nm_pct,circuit_pct
2019.0,City of Carthage - (MO),MO,291898.0,7771.0,3113.0,Municipal,22.555,0.667,33.815592,17.0,16.0,SPP,971.0,303419.0,87.751,0.0,87.751,0.030062213512939456,0.0,0.030062213512939456,94.11764705882352
2019.0,Central Alabama Electric Coop,AL,701306.0,43783.0,3222.0,Cooperative,152.8,.,.,76.0,76.0,SERC,0.0,740911.0,28.762,0.0,28.762,0.004101205465232009,0.0,0.004101205465232009,100.0
2019.0,"Central Florida Elec Coop, Inc",FL,502468.0,33942.0,3245.0,Cooperative,182.75,.,.,54.0,21.0,FRCC,0.0,525018.0,311.932,0.0,594.632,0.06207997325202799,0.0,0.11834226259184663,38.88888888888889
2019.0,Central Georgia El Member Corp,GA,1298781.0,58745.0,3248.0,Cooperative,79.06,1.041,75.946206,76.0,76.0,SERC,0.0,1342854.0,41.588,0.0,41.588,0.003202079488381798,0.0,0.003202079488381798,100.0
2019.0,Central Maine Power Co,ME,4662655.0,533057.0,3266.0,Investor Owned,189.8,1.53,124.05229,477.0,0.0,NPCC,0.0,4894567.0,33958.3,72.471,36939.52,0.7283039384213501,0.0015542861309704452,0.7922421881953521,0.0
2019.0,Central Missouri Elec Coop Inc,MO,336626.0,10908.0,3268.0,Cooperative,137.036,.,.,43.0,0.0,SERC,0.0,347176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,"Central Valley Elec Coop, Inc",NM,821352.0,15328.0,3287.0,Cooperative,335.691,2.082,161.23487,95.0,95.0,SPP,0.0,889883.0,20.771,0.0,20.771,0.0025288792137841023,0.0,0.0025288792137841023,100.0
2019.0,Central Virginia Electric Coop,VA,748861.0,37484.0,3291.0,Cooperative,251,2.42,103.71901,85.0,0.0,SERC,0.0,796626.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,City of Centralia - (WA),WA,258189.0,10381.0,3295.0,Municipal,187.995,1.212,155.11139,30.0,30.0,WECC,64114.0,205175.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2019.0,Borough of Chambersburg,PA,310104.0,11135.0,3329.0,Municipal,20.44,.,.,34.0,6.0,RFC,4464.0,324024.0,0.0,0.0,0.0,0.0,0.0,0.0,17.647058823529413
2019.0,City of Cheney - (WA),WA,148540.0,5798.0,3420.0,Municipal,56.384,0.309,182.47249,7.0,0.0,WECC,0.0,168745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
