name,state,total_mwh,total_cust,no,type,saidi_nomed,saifi_nomed,caidi_nomed,circuits,voltage,nerc,gen_mwh,purchase_mwh,ba,pv_mwh,wind_mwh,nm_mwh,ee_mwh,dem_res_customers,dem_res_mwh,wind_pct
Appalachian Power Co,VA,14794030.0,533034.0,733.0,Investor Owned,382.9,1.705,224.57478,587.0,0.0,,,,PJM,6224.081,30.339,6254.42,20564.17,1.0,0.0,0.0
Appalachian Power Co,WV,12741119.0,421583.0,733.0,Investor Owned,650.8,2.883,225.73708,495.0,3.0,,,,PJM,3472.373,0.62,3472.993,52705.1,2729.0,47.0,7.91854625708199e-06
Arizona Public Service Co,AZ,27844577.0,1260386.0,803.0,Investor Owned,86.8,0.843,102.9656,1386.0,0.0,WECC,26805008.0,7156889.0,AZPS,0.0,0.0,0.0,143225.0,693725.0,977215.0,0.0
Entergy Arkansas LLC,AR,21818109.0,713072.0,814.0,Investor Owned,308.8,1.72,179.53488,1255.0,0.0,SERC,27576017.0,4700126.0,MISO,0.0,0.0,0.0,248663.0,23369.0,0.0,0.0
Arkansas Valley Elec Coop Corp,AR,1199727.0,55362.0,817.0,Cooperative,181.53,1.5,121.02,129.0,0.0,SERC,0.0,1304852.0,SWPP,85.737,0.0,85.737,,,,0.0
Arkansas Valley Elec Coop Corp,OK,90989.0,4539.0,817.0,Cooperative,56.7,0.49,115.71429,13.0,0.0,,,,,,,,,,,0.0
"Arrowhead Electric Coop, Inc",MN,75135.0,4290.0,887.0,Cooperative,.,.,.,5.0,0.0,MRO,0.0,79885.0,MISO,127.0,0.023,127.023,,,,0.0
Town of Ashburnham - (MA),MA,33807.0,3064.0,902.0,Municipal,.,.,.,2.0,0.0,NPCC,0.0,26648.0,ISNE,45.0,0.0,45.0,,,,0.0
"Ashley Chicot Elec Coop, Inc",AR,75904.0,4903.0,925.0,Cooperative,198.6,.,.,17.0,0.0,SERC,0.0,85489.0,,,,,,,,0.0
Atlantic City Electric Co,NJ,4889951.0,486628.0,963.0,Investor Owned,76,0.89,85.393258,355.0,0.0,RFC,0.0,6521522.0,PJM,0.0,0.0,0.0,13574.0,43558.0,612.0,0.0
City of Austin - (MN),MN,335157.0,11746.0,1009.0,Municipal,31.885,0.231,138.0303,26.0,0.0,MRO,0.0,341870.0,MISO,25.037,0.0,25.037,5596.206,6809.0,140.882,
Austin Energy,TX,13695862.0,499542.0,1015.0,Municipal,68.68,0.87,78.942529,404.0,75.0,TRE,9115458.0,5666762.0,ERCO,0.0,0.0,0.0,121336.32,68343.0,86.92,
